title,sku_id,Variant_id,Variant,category,sub_category
Water Melon Red- Mysore,5cc83faf13f1917fbe4ba67f,5cc83faf13f1917fbe4ba680,1 Kg,Fresh Fruits,Melon
Classic Mild,5bec0c50ab11ff462a6c9b3e,5bec0c50ab11ff462a6c9b3f,Pack of 20,Paan,Others
Lemon,5c0e70078d92d07fdfc24815,5c0e70078d92d07fdfc24816,500 Gms,Fresh Herbs and Seasoning,"Chilli, Lemon, Garlic and Ginger"
Chillies - Green,5bd323493cd51519e93540fe,5d80aca01118d273be28109a,250 Gms,Fresh Herbs and Seasoning,"Chilli, Lemon, Garlic and Ginger"
Banana,5c6e8ba1019ca52990dcabcd,5c6e8ba1019ca52990dcabce,1 kg,Fresh Fruits,"Banana, Guava, Sapota"
Coriander Leaves,5c0e70078d92d07fdfc247d9,5d6e093f4fce012c1d0fe96a,Half Bunch,Fresh Herbs and Seasoning,Indian Herbs
Beans,5d3fe24447ddec28ec55509a,5d3fe24447ddec28ec55509d,250 Gms,Fresh Vegetables,"Beans, Brinjals, Okra"
Green Chillies,5c0e70078d92d07fdfc247ff,5cdad7908ebff75be21aa418,200 Gms,Fresh Herbs and Seasoning,"Chilli, Lemon, Garlic and Ginger"
Gold Flakes Kings Lights,5bec0c50ab11ff462a6c9b37,5bec0c50ab11ff462a6c9b39,Pack of 10,Paan,Others
Carrot,5c0e75068d92d07fdfcf7420,5c0e75068d92d07fdfcf7423,250 Gms,Fresh Vegetables,Root Vegetables
Id Natural Paneer,5be2940148e1c43d79561c84,5be2940148e1c43d79561c85,200 Gms,Breakfast & Dairy,Dairy
Bottle Gourd,5def9acca0b6fd0220b61544,5e0474729fa7f7315081fec6,500 Gms,Fresh Vegetables,"Gourds, Pumpkins, Drumsticks"
Amul Butter,5bc87ae10d298a283c296e1f,5c2f5fe1870efa7d31dc667d,500 Gms,Breakfast & Dairy,Dairy
Mushroom,5c235baa053cdb286aaa826a,5d6e093e4fce012c1d0fe13c,1 Pack,Fresh Vegetables,"Peas, Corn, Mushrooms"
Chikoo,5d2c2b729e1975027f936d9c,5d2c2b729e1975027f936d9e,500 Gms,Fresh Fruits,"Banana, Guava, Sapota"
Badami Mango,5c790174d661476ccea63563,5c790174d661476ccea63564,1 Kg,Fresh Fruits,Mangoes
Green Peas,5d2c2b729e1975027f936d6d,5d3967fc47ddec28ec4fcc8d,500 Gms,Fresh Vegetables,"Peas, Corn, Mushrooms"
Kwality Brown Bread,5d10ebabc9e8386c3c52875d,5d10ebabc9e8386c3c52875e,400 Gms,Breakfast & Dairy,Bread & Buns
Sweet Corn,5bd323493cd51519e93540ec,5bd323493cd51519e93540ed,1 Kg,Fresh Vegetables,"Peas, Corn, Mushrooms"
Cadbury Dairy Milk Chocolate,5bc87ae10d298a283c29708b,5bc87ae10d298a283c29708d,52 Gms,Chocolates & Ice-Cream,Bar Chocolates
Ladies finger,5c0e70078d92d07fdfc24811,5c0e70078d92d07fdfc24814,250 Gms,Fresh Vegetables,"Beans, Brinjals, Okra"
Ridge Gourd,5c0916970ac44c06a6f15e81,5c0916970ac44c06a6f15e82,500 Gms,Fresh Vegetables,"Gourds, Pumpkins, Drumsticks"
Green Chillies,5c0e70078d92d07fdfc247ff,5c0e70078d92d07fdfc24801,500 Gms,Fresh Herbs and Seasoning,"Chilli, Lemon, Garlic and Ginger"
Thums Up Pet Bottle,5c029bdf08e0144a1a435dfd,5ca496c7e1921370b56c8d7b,2.25 Ltrs,Beverages,Soft Drinks
Lays American Style Cream and Onion Chips,5bfe623d726eb61f4312a5e8,5bfe623d726eb61f4312a5eb,52 Gms,Snacks & Frozen Food,Chips & Crisps
Amul Toned Milk,5d1084c6c9e8386c3c518891,5d1084c6c9e8386c3c518892,500 Ml,Breakfast & Dairy,Milk
Coca Cola Pet Bottle,5c029b4e08e0144a1a409b47,5c029b4e08e0144a1a409b4a,750 Ml,Beverages,Soft Drinks
Bottle Gourd,5bd323493cd51519e9354062,5bd323493cd51519e9354064,500 Gms,Fresh Vegetables,"Gourds, Pumpkins, Drumsticks"
Garlic,5c0e790f8d92d07fdfd9df0a,5cdad8578ebff75be21aa490,100 Gms,Fresh Herbs and Seasoning,"Chilli, Lemon, Garlic and Ginger"
Radler Lime Mint Can (Pack Of 2),5eeb50547b2b3a5f856dbdfc,5eeb50547b2b3a5f856dbdfd,2 X 300 Ml,Beverages,Fruit Juice & Drinks
Amul Taaza Fresh Toned Milk,5bf85868269a0f1dd3c3764e,5bf85868269a0f1dd3c3764f,1 Ltr,Breakfast & Dairy,Milk
Lays American Style Cream and Onion Chips,5bfe623d726eb61f4312a5e8,5bfe623d726eb61f4312a5ea,95 Gms,Snacks & Frozen Food,Chips & Crisps
Musk Melon,5c0916970ac44c06a6f15e6b,5c6aa4518fb99d1012236a09,1 Kg,Fresh Fruits,Melon
Ooty Carrot,5c0916970ac44c06a6f15e3d,5c6aa3d48fb99d101223297b,500 Gms,Fresh Vegetables,Root Vegetables
Green Capsicum,5c0e790f8d92d07fdfd9df12,5c0e79108d92d07fdfd9df15,250 Gms,Fresh Vegetables,Cucumber & Capsicum
Amla,5c0e790f8d92d07fdfd9debc,5c0e790f8d92d07fdfd9debf,250 Gms,Fresh Herbs and Seasoning,Indian Herbs
Cadbury Oreo Original Biscuits,5bf85867269a0f1dd3c371a2,5bf85867269a0f1dd3c371a4,120 Gms,Snacks & Frozen Food,Biscuit & Cookies
Broccoli,5c0e70078d92d07fdfc247b6,5c0e70078d92d07fdfc247b9,250 Gms,Fresh Vegetables,"Cabbage, Cauliflower, Broccoli"
Apple Royal Gala,5c35dbf1b1e6c12dfdc86725,5c6a79828fb99d1012062de2,500 Gms,Fresh Fruits,"Apples, Pears, Plums"
Senai,5d2c2b719e1975027f936cf2,5d2c2b719e1975027f936cf3,500 Gms,Fresh Vegetables,Root Vegetables
Seppan Kilangu- Arabi,5cc83faf13f1917fbe4ba6e5,5cc83faf13f1917fbe4ba6e6,500 Gms,Fresh Vegetables,Root Vegetables
Carrot,5c0e70078d92d07fdfc247be,5c0e70078d92d07fdfc247c0,500 Gms,Fresh Vegetables,Root Vegetables
Madhur Pure And Hygienic Sugar,5bc87ae20d298a283c297a54,5bc87ae20d298a283c297a55,1 Kg,Provisions,"Salt, Sugar & Jaggery"
Sweet Corn,5bd323493cd51519e93540ec,5d6e093f4fce012c1d0fe66c,1 Pc,Fresh Vegetables,"Peas, Corn, Mushrooms"
Chow Chow,5c0e70078d92d07fdfc247c9,5c0e70078d92d07fdfc247cb,500 Gms,Fresh Vegetables,Speciality
Kovakkai,5cc83faf13f1917fbe4ba6d0,5cc83faf13f1917fbe4ba6d2,500 Gms,Fresh Vegetables,"Gourds, Pumpkins, Drumsticks"
Sugar,5c3f163cc35a670fec48f70d,5c3f163cc35a670fec48f70e,1 Kg,Provisions,"Salt, Sugar & Jaggery"
Capsicum,5d3fe24447ddec28ec55508e,5d3fe24447ddec28ec555091,250 Gms,Fresh Vegetables,Cucumber & Capsicum
Green Plantain,5cc83faf13f1917fbe4ba6de,5cc83faf13f1917fbe4ba6e0,500 Gms,Fresh Vegetables,"Gourds, Pumpkins, Drumsticks"
Amul Paneer,5bc87ae10d298a283c296e5e,5c24c054f63f201f558494d4,200 Gms,Breakfast & Dairy,Dairy
Amul Toned Milk,5c1b6f759d3aca4aa32cc46f,5c1b6f759d3aca4aa32cc470,500 Ml,Best Sellers,Others
Bitter Gourd,5c0e70078d92d07fdfc247a8,5c0e70078d92d07fdfc247aa,500 Gms,Fresh Vegetables,"Gourds, Pumpkins, Drumsticks"
Id Malabar Paratha,5bc87ae20d298a283c29787a,5bc87ae20d298a283c29787b,350 Gms,Instant Foods & Ready To Eat,Ready to Eat
Kwality Anytime Premium Bread,5c4ea4cf7d548d22113d1f6b,5c4ea4cf7d548d22113d1f6c,400 Gms,Breakfast & Dairy,Bread & Buns
Brinjal Ujala,5cc83faf13f1917fbe4ba6a6,5cc83faf13f1917fbe4ba6a8,500 Gms,Fresh Vegetables,"Beans, Brinjals, Okra"
Amul Taaza Milk,5bd2cef973cdab7135874ee5,5bd2cef973cdab7135874ee7,500 Ml,Breakfast & Dairy,Milk
Amul Taaza Milk,5bd2cef973cdab7135874ee5,5bd2cef973cdab7135874ee6,1 Ltr,Breakfast & Dairy,Milk
Beetroot,5c6e7e60019ca52990d6136e,5c6e7e60019ca52990d6136f,1 Kg,Fresh Vegetables,Root Vegetables
Green Capsicum,5c0e790f8d92d07fdfd9df12,5c0e790f8d92d07fdfd9df13,1 Kg,Fresh Vegetables,Cucumber & Capsicum
Sprite Pet Bottle,5bd2cefb73cdab7135877427,5bd2cefb73cdab7135877428,750 Ml,Beverages,Soft Drinks
Eggs,5c4f1db3c838db50a1ba1f79,5dca85dca5e4b1347620d0d1,12 Pcs,Breakfast & Dairy,Egg
Lemon,5c0e70078d92d07fdfc24815,5d6e09404fce012c1d0feec0,2 Pcs,Fresh Herbs and Seasoning,"Chilli, Lemon, Garlic and Ginger"
Lemon,5c0e70078d92d07fdfc24815,5d6e09404fce012c1d0feebd,6 Pcs,Fresh Herbs and Seasoning,"Chilli, Lemon, Garlic and Ginger"
Eggs,5be034870cb8c317933128bc,5be034870cb8c317933128bd,12 Pcs,Breakfast & Dairy,Egg
Bisleri Mineral Water,5bc87ae10d298a283c296f61,5bc87ae10d298a283c296f63,5 Ltrs,Beverages,Bottled Water & Soda
Maggi 2 Minutes Masala Noodles,5bfe623d726eb61f4312a5f1,5bfe623d726eb61f4312a5f7,70 Gms,Instant Foods & Ready To Eat,Noodles & Pasta
Eggs,5be034870cb8c317933128bc,5be034870cb8c317933128be,6 Pcs,Breakfast & Dairy,Egg
Fortune Sunlite Sunflower Refined Oil  Poly Pack,5bc87ae10d298a283c2975be,5bc87ae10d298a283c2975bf,1 Ltr,Provisions,Oils & Ghee
Beetroot,5c6e7e60019ca52990d6136e,5c6e7e60019ca52990d61371,250 gms,Fresh Vegetables,Root Vegetables
Coconut,5c504fbb01e1e57c7422395e,5c504fbb01e1e57c7422395f,1 Pc,Fresh Fruits,Coconut
Britannia Dairy Fresh Dahi,5bc87ae10d298a283c296fa7,5bc87ae10d298a283c296fa8,400 Gms,Breakfast & Dairy,Dairy
Classic Ice Burst,5ced3812497d855ddabda435,5ced3812497d855ddabda436,Pack of 20,Paan,Others
Apple - Washington,5bd323493cd51519e9353fb2,5bd323493cd51519e9353fb3,1 Kg,Fresh Fruits,"Apples, Pears, Plums"
Lays American Style Cream and Onion Chips,5bfe623d726eb61f4312a5e8,5bfe623d726eb61f4312a5e9,167 Gms,Snacks & Frozen Food,Chips & Crisps
Chillies - Green,5bd323493cd51519e93540fe,5caef17d05e9da7da2ab3b18,100 Gms,Fresh Herbs and Seasoning,"Chilli, Lemon, Garlic and Ginger"
Spring Onion,5bd323493cd51519e93540e6,5d6e093f4fce012c1d0fe61d,1 Bunch,Fresh Vegetables,"Potatoes, Onions, Tomatoes"
Dark Green Chilli,5c235ba9053cdb286aaa822c,5d70d49c1dcec7718c3ad20f,100 Gms,Fresh Herbs and Seasoning,"Chilli, Lemon, Garlic and Ginger"
Pumpkin,5c6e8ba1019ca52990dcac7d,5c6e8ba1019ca52990dcac7f,500 Gms,Fresh Vegetables,"Gourds, Pumpkins, Drumsticks"
French Beans,5c752ba35c7bd457068c8087,5d3967fc47ddec28ec4fcc45,500 Gms,Fresh Vegetables,"Beans, Brinjals, Okra"
Kurkure Masala Munch,5bdc77826cb2d102bff8316f,5bdc77826cb2d102bff83171,100 Gms,Snacks & Frozen Food,Chips & Crisps
Bitter Gourd,5c6e7d63019ca52990d5b959,5c6e7d63019ca52990d5b95b,500 Gms,Fresh Vegetables,"Gourds, Pumpkins, Drumsticks"
Snake Gourd,5c0e70078d92d07fdfc24857,5c0e70078d92d07fdfc24859,500 Gms,Fresh Vegetables,"Gourds, Pumpkins, Drumsticks"
Green Peas,5d2c2b729e1975027f936d6d,5d2c2b729e1975027f936d6e,250 Gms,Fresh Vegetables,"Peas, Corn, Mushrooms"
Haldirams Khatta Meetha Namkeen,5bd2cefa73cdab7135875da9,5bd2cefa73cdab7135875daa,150 Gms,Snacks & Frozen Food,Snacks
Ginger,5c0e790f8d92d07fdfd9df0e,5c0e790f8d92d07fdfd9df10,500 Gms,Fresh Herbs and Seasoning,"Chilli, Lemon, Garlic and Ginger"
Amul Cheese Slices,5bc87ae10d298a283c296e24,5bc87ae10d298a283c296e25,200 Gms,Breakfast & Dairy,Dairy
Radish,5c0e70078d92d07fdfc2483f,5c0e70078d92d07fdfc24841,500 Gms,Fresh Vegetables,Root Vegetables
Heritage Total Curd,5be5992dfee8706dda0ba93d,5be5992dfee8706dda0ba93e,500 Gms,Breakfast & Dairy,Dairy
Power Eggs,5d76270e4bf1844dbc4ec9dc,5d76270e4bf1844dbc4ec9dd,6 Eggs,Breakfast & Dairy,Egg
Amul Taaza Toned Milk,5d76270f4bf1844dbc4ecbde,5d76270f4bf1844dbc4ecbdf,1 Ltr,Breakfast & Dairy,Milk
Bisleri Mineral Water,5bc87ae10d298a283c296f61,5bc87ae10d298a283c296f64,2 Ltrs,Beverages,Bottled Water & Soda
Amul Dark Chocolate Bar,5bc87ae10d298a283c296e3c,5bc87ae10d298a283c296e3d,150 Gms,Chocolates & Ice-Cream,Bar Chocolates
Sweet Lime Fresh,5c264106bbc7ac725f51393b,5c264106bbc7ac725f51393c,1 Kg,Fresh Fruits,"Oranges, Mosambi"
KPN Idly Dosa Batter,5e5e344517901f5953a5ac09,5e5e344517901f5953a5ac0a,1 Kg,Instant Foods & Ready To Eat,Ready to Cook
Amul Taaza Homogenised Toned Milk,5c73e1ef2066a44f4a7d738d,5c73e1ef2066a44f4a7d738e,1 Ltr,Breakfast & Dairy,Milk
ID Idly & Dosa Batter,5d3193119e1975027fa2d5fe,5d3193119e1975027fa2d5ff,1 Kg,Instant Foods & Ready To Eat,Ready to Cook
Apple,5bd323493cd51519e9353fa9,5bd323493cd51519e9353fab,500 Gms,Fresh Fruits,"Apples, Pears, Plums"
Fresh Country Tomato,5c504fbb01e1e57c74223982,5c504fbb01e1e57c74223983,1 Kg,Fresh Vegetables,Cut & Packed Vegetables
Sweet Corn,5bd323493cd51519e93540ec,5bd323493cd51519e93540ee,500 Gms,Fresh Vegetables,"Peas, Corn, Mushrooms"
Sunfeast Dark Fantasy Choco Fills,5bf85867269a0f1dd3c37235,5bf85867269a0f1dd3c37236,75 Gms,Snacks & Frozen Food,Biscuit & Cookies
Parle Hide And Seek Chocolate Chip Cookies,5bc87ae20d298a283c297fb7,5be93c903a40350e5cba78b4,120 Gms,Snacks & Frozen Food,Biscuit & Cookies
Mint Leaves,5c0e70078d92d07fdfc2481d,5c0e70078d92d07fdfc2481f,100 Gms,Fresh Herbs and Seasoning,Indian Herbs
Britannia Good Day Cashew Cookies,5bc87ae10d298a283c296fb5,5bc87ae10d298a283c296fb6,120 Gms,Snacks & Frozen Food,Biscuit & Cookies
Classic Ultra Milds,5bec0c50ab11ff462a6c9b41,5bec0c50ab11ff462a6c9b42,Pack of 20,Paan,Others
Lays Magic Masala Chips,5bfe623d726eb61f4312a5e4,5bfe623d726eb61f4312a5e5,90 Gms,Snacks & Frozen Food,Chips & Crisps
Garlic,5c0e790f8d92d07fdfd9df0a,5c0e790f8d92d07fdfd9df0c,500 Gms,Fresh Herbs and Seasoning,"Chilli, Lemon, Garlic and Ginger"
Ooty Carrot,5c0916970ac44c06a6f15e3d,5c6aa3d48fb99d101223297a,1 Kg,Fresh Vegetables,Root Vegetables
Britannia Daily Milk Bread,5bc87ae10d298a283c296fa4,5bc87ae10d298a283c296fa5,400 Gms,Breakfast & Dairy,Bread & Buns
